Tua mão está gelada.	MÃO TEU GELADA
Ele perdeu seu lugar.	ESPAÇO SEU ELE PERDER
As crianças odeiam comer vegetais.	CRIANÇAS VEGETAIS ODIAR (RECUSA TOTAL)
Aquilo me fez chorar.	AQUILO (APONTAR SE FOR POSSÍVEL) EU CHORAR
Tu deves realmente fazer tudo para não beber tanta cerveja.	CERVEJA BEBER MENOS TU DEVER OBRIGATÓRIO
Eu vi o cão e o gato.	CÃO GATO (OS DOIS) EU VER
Vou ficar com minha tia por enquanto.	TIA MINHA EU PROVISÓRIO FICAR OU JUNTO
Eu não posso concordar com a sua proposta.	PROPOSTA SUA EU CONCORDAR NÃO PODER
Diga-o aos outros!	PESSOAS OUTRAS TU DIZER; PESSOAS OUTRAS TU AVISAR
Tom não está com nenhum dinheiro.	DT(T-O-M) DINHEIRO NÃO TEM; DT(T-O-M) DINHEIRO NÃO HÁ
Alif é a primeira letra do alfabeto árabe.	ÁRABE ALFABETO LETRA PRIMEIRA ALIF É; ÁRABE ALFABETO LETRA PRIMEIRA ALIF PERTENCE
Você me ajudou.	TU (VOCÊ) AJUDAR ME
Tua mãe se orgulhará de ti.	MÃE TUA FUTURO ORGULHO TI
Tom foi aprovado no exame final.	EXAME FINAL DT(T-O-M) APROVAR; EXAME FINAL DT(T-O-M) PASSAR
As pessoas querem mudança.	PESSOA VÁRIAS MUDANÇA QUERER
Todos concordaram com isso?	{CONCORDAR TODOS APONTAR QUESTIONANDO}(q)
Há quanto tempo estudas inglês?	{INGLES TU ESTUDAR ANOS QUANTO}(q); {INGLES TU ESTUDAR TEMPO QUANTO}(q)
Não me apetece nada.	EU APETECER NADA
Parem de jogar pedregulhos na minha janela.	JANELA MINHA PEDRAS (A BATER NA JANELA) MANDAR FIM
Meu avô sai para caminhar todas as manhãs.	AVÔ MEU MANHÃ SEMPRE SAIR CAMINHAR
meu deus, como estou aborrecida	DEUS MEU EU ABORRECIDA
tambem quero acompanhar-te	TU ACOMPANHAR EU QUERO TAMBÉM
senhora ordeno que vos caleis.	MULHER SENHOR CALAR EU ORDEM; MULHER SENHOR CALAR EU MANDO
pelo que vejo, rosa, estás bem decidida a não vir connosco?	{DT(R-O-S-A) DECISÃO JÁ JUNTO NÓS NÃO}(q)
e que mais costumas ler?	{TU LER COSTUME TEMA OUTRO O QUE}(q)
que livro estás lendo, com tanta atenção, minha menina?	{MENINA MINHA TU ATENÇÃO FORTE LIVRO LER O QUE}(q)
rosinha, queres ir viver com esta senhora e sua filha?	{DT(R-O-S-A) MENINA SENHORA ESTA E FILHA SUA TU CASA JUNTO TODOS QUERER}(q)
este vestido, senhor, foi comprado com as minhas economias.	SENHOR DINHEIRO MEU POUPAR DEPOIS VESTIDO MEU COMPRAR
estiveste incomodada, minha filha?	{MULHER FILHO MEU TU SENTIR MAL}(q)
assim o espero.	EU ESPERAR
anda vestir-te.	TU VESTIR IR
faço cestinhos com flores para vender.	CESTO PEQUENO FLORES DENTRO EU ARRANJAR DEPOIS VENDER; CESTO PEQUENO FLORES DENTRO EU MONTAR DEPOIS VENDER
então quem foi?	{IR QUEM}(q)
ainda dorme.	ELE DORMIR AINDA
é tão velhinha e tão doente, que vos peço que tenhais piedade dela.	SENHORA VELHA JÁ DOENTE MUITO EU PEDIR VOCÊS RESPEITO; SENHORA VELHA JÁ DOENTE MUITO EU PEDIR VOCÊS COMPREENSÃO; SENHORA IDOSA JÁ DOENTE MUITO EU PEDIR VOCÊS RESPEITO; SENHORA IDOSA JÁ DOENTE MUITO EU PEDIR VOCÊS COMPREENSÃO
amas então muito a senhora Teresa?	{MULHER SENHOR DT(T-E-R-E-S-A) TU AMOR MUITO VERDADE}(q)
vou já bordar um quadro, cópia deste cestinho, que ha-de ficar muito rico.	AGORA QUADRO UM EU BORDAR CESTO PEQUENO CÓPIA DEPOIS RICO MUITO; AGORA QUADRO UM EU BORDAR CESTO PEQUENO IGUAL DEPOIS RICO MUITO
não, senhora não é esse o meu pensamento, e que me causa tanta alegria.	SENHORA PENSAMENTO MEU ESSE NÃO É ALEGRIA MUITO DAR-ME
não fui eu que fiz este cestinho, minha mãe.	MÃE MINHA CESTO PEQUENO ESTE EU CRIAR (NÃO)
ainda não te contei o encontro, que tive esta manhã.	HOJE MANHÃ PESSOA ENCONTRO CONTAR TU AINDA NÃO
Hoje comparecemos ao concerto didático na Sala Minas Gerais	LOCAL SALA MINAS GERAIS HOJE NÓS PRESENÇA DIDÁTICO CONCERTO
Quem bate em mulher é cobarde.	MULHER BATER PESSOA COBARDE É; MULHER BATER PESSOA COBARDE PRÓPRIO DE; MULHER BATER PESSOA MEDROSO É; MULHER BATER PESSOA MEDROSO PRÓPRIO DE
Estamos desperdiçando nossas vidas na internet.	INTERNET LIGADO VIDA NOSSA PREJUIZO
Toda história tem um fim	HISTÓRIA TODA FIM SEMPRE HÁ
Enquanto o nosso país precisar conviver com isso	PAÍS NOSSO VIDA DIÁRIA PRECISAR
Uau!	UAU
Nem precisa de comentário	COMENTÁRIO NÃO PRECISAR
Equipa quase completa	EQUIPA PESSOAS FALTAR; EQUIPA PESSOAS COMPLETA AINDA NÃO
Sexta-feira	SEXTA FEIRA
Aquele cafezinho que a gente valoriza.	NÓS VALOR CAFÉ BEBER; NÓS IMPORTANTE CAFÉ BEBER
Quando você se afasta de pessoas negativas	PESSOAS NEGATIVAS TU AFASTAR
Lindezas que o trabalho nos proporciona.	TRABALHO COISAS LINDAS DAR NÓS
Mostrar que existem possibilidades.	POSSIVEL VÁRIOS MOSTRAR
Enquanto uns brigam por política eu brigo com a balança mesmo...	PESSOAS ALGUMAS BRIGAR POLITICA CAUSA EU PREOCUPAÇÃO PESO MEU
Nada que é unilateral vai se manter por muito tempo.	TEMA UMA PARTE TEMPO MUITO CONTINUAR NÃO
Quanto ganha o Facebook com cada utilizador?	{PESSOA CADA DAR FACEBOOK GANHAR QUANTO}(q)
Hoje a nossa produção de vídeo é com o Presidente de Futebol do Barroso.	HOJE VIDEO PRODUÇÃO JUNTO PRESIDENTE FUTEBOL BARROSSO LIGADO
Eu uso óculos no trabalho	EU TRABALHO ÓCULOS PÔR
Venha fazer parte do grupo de revendedores de sucesso!	REVENDEDORES SUCESSO HÁ TU GRUPO DENTRO VIR
Corre, é só um cafezinho!	TU CORRER ANDA CAFÉ UM PEQUENO SÓ
António Costa disse que, por todas as razões e mais algumas, Portugal deseja as maiores felicidades à presidência alemã para encerrar este assunto.	NG(A-N-T-Ó-N-I-O C-O-S-T-A) DIZER DESEJAR FELICIDADE ALEMANHA MULHER PRESIDENTE MOTIVOS VÁRIOS OBJETIVO ASSUNTO ESTE ENCERRAR
Estou muito preocupado, disse o ministro das Finanças em declarações aos jornalistas no parlamento, no final das votações na especialidade da proposta de Orçamento do Estado para 2021.	EU PREOCUPADO MUITO DIZER QUEM (q) MINISTRO AREA FINANÇAS DIRETO JORNALISTAS PARLAMENTO PRESENÇA VOTAÇÕES FIM AREA ESPECIALIDADE ORÇAMENTO ESTADO LIGADO ANO 2021
Telmo Correia sublinhou que não se trata de defender uma intervenção externa feita por quem não conhece a realidade, mas de ajudar as autoridades moçambicanas a terem meios de resposta para lidar com este problema.	DT (T-E-L-M-O) DT (C-O-R-R-E-I-A) DIZER INTERVENÇÃO EXTERNA RESPONSÁVEL PESSOAS DESCONHECIDAS NÃO É MAS OBJETIVO AJUDAR ENTIDADES PODER LIGADO MOÇAMBIQUE CONSEGUIR RESPOSTA ADEQUADA PROBLEMA ESTE RESOLVER
Os partidos da oposição voltaram hoje a alertar para problemas nas escolas acentuados pela pandemia da covid-19, criticando a falta de resposta do Governo, e defenderam a testagem da comunidade escolar, que esteve em discussão no parlamento.	POLITICA GRUPO CONTRA HOJE OUTRA VEZ AVISAR ESCOLAS PROBLEMAS GRAVES ESCOLAS PIOR POR CAUSA COVID-19 PANDEMIA CRITICA GOVERNO RESPOSTA NÃO HÁ TAMBÉM DIZER PRIORIDADE ESCOLA COMUNIDADE TESTE FAZER PARLAMENTO HOJE TEMA DISCUSSÃO
Secretário de Estado para a Transição Digital	PESSOA SECRETÁRIO ESTADO AREA DIGITAL ALTERAÇÃO
Na sequência do teste positivo à covid-19 do secretário de Estado do Planeamento, conhecido no passado sábado, pelas 17:00, o ministro do Planeamento foi submetido a teste, nesse mesmo dia à noite, tendo obtido resultado negativo, indicou, em comunicado, o Ministério do Planeamento.	POR CAUSA PESSOA SECRETÁRIO ESTADO PLANO PREPARAÇÃO LIGADO COVID-19 TESTE POSITIVO INFORMAÇÃO DIVULGAÇÃO SÁBADO ÚLTIMO HORA CINCO TARDE PESSOA MINISTRO PLANO PREPARAÇÃO TESTE FAZER, DIA MESMO MAS NOITE RESULTADO NEGATIVO DAR INFORMAR ESCRITO RESPONSABILIDADE MINISTÉRIO PLANO PREPARAÇÃO (PLANEAMENTO)
No debate de sexta-feira, o CDS distanciou-se de PS e PSD e, pela primeira vez desde o início da pandemia, não votou a favor do estado de emergência decretado por Marcelo Rebelo de Sousa.	SEXTA-FEIRA DEBATE LIGADO GRUPO POLITICA CDS AFASTAR PS PSD PRIMEIRA VEZ COMEÇAR PANDEMIA INICIO VOTO CONTRA ESTADO EMERGÊNCIA PROPOSTA DECISÃO PRESIDENTE NG(MARCELO REBELO DE SOUSA)
O parlamento procede hoje à votação final global do Orçamento do Estado para 2021, estando a viabilização do documento assegurada depois de o PCP, PEV e PAN terem anunciado que se vão abster.	PARLAMENTO HOJE VOTAR FIM GERAL ORÇAMENTO ESTADO LIGADO ANO 2021 DOCUMENTO ESTE POSSIVEL APROVADO PORQUE PCP PEV PAN ABSTENÇÃO ANTES AVISAR JÁ
Revogada lei com 15 anos	LEI ANOS 15 JÁ ANULAR
Segundo um levantamento levado a acabo pela CIVICA e pelo Lusojornal, maior jornal de língua portuguesa em França, em 2020 foram eleitos mais de 7.200 autarcas de origem portuguesa nas eleições municipais francesas que decorreram em março e junho.	DT(C-I-V-I-C-A) E DT(L-U-S-O-J-O-R-N-A-L) FOI INFORMAÇÃO RECOLHER LOCALIZAÇÃO FRANÇA JORNAL LINGUA PORTUGUESA PRIMEIRO LUGAR ANO 2020 VOTO ESCOLHER 7200 MAIS PESSOAS JUNTA E CÂMARA LIGADOS PORTUGAL NASCER ELEIÇÕES JUNTA E CÂMARA LIGADO FRANÇA TEMPO PERIODO MÊS MARÇO JUNHO
A confederação pretende ainda esclarecer, na reunião com o executivo, a concretização das medidas de apoio existentes, como as que foram anunciadas no Orçamento do Estado para 2021.	REUNIÃO EXECUTIVO JUNTO CONFEDERAÇÃO OBJETIVO INFORMAÇÃO CLARA TEMA MEDIDAS APOIO LIGADO IGUAL ORÇAMENTO ESTADO ANO 2021 MOSTRAR
O que precisa de saber quanto às eleições?	{ELEIÇÕES INFORMAÇÃO LIGADO IMPORTANTE O QUÊ}(q)
A Provedora de Justiça irá definir o montante da indemnização a pagar e os termos do respetivo pagamento.	SENHORA PROVEDOR JUSTIÇA LIGADO DECIDIR EM BREVE VALOR INDEMINIZAÇÃO PAGAR REGRAS PAGAMENTO LIGADO
O ministro da Administração Interna, Eduardo Cabrita, intervém durante o debate parlamentar na Assembleia da República, em Lisboa, 21 de maio de 2020.	PESSOA MINISTRO ADMINISTRAÇÃO INTERNA DT(E-D-U-A-R-D-O) DT(C-A-B-R-I-T-A) INTERVIR ASSEMBLEIA REPÚBLICA DEBATE LOCAL LISBOA 21 MAIO ANO 2020
Eu creio que a verdade é o melhor antidoto contra a desconfiança, por isso, é que a verdade sobre as máscaras, sobre os dados é o melhor caminho.	VERDADE CONTRA DESCONFIANÇA RESOLVER MELHOR EU ACREDITAR INFORMAÇÃO VERDADE TEMA MÁSCARAS DADOS LIGADO CAMINHO MELHOR É
Mas essa, é uma antiga promessa do sr. primeiro-ministro, pelo que lhe cabe executá-la, da forma que entender como possível, justificou.	MAS ESSA PROMESSA ANTIGA SENHOR PRIMEIRO MINISTRO RESPONSABILIDADE TEM PÔR EM PRÁTICA FORMA ACHAR POSSIVEL JUSTIFICAÇÃO DEU
Em setembro, antes da segunda vaga da pandemia, havia 29 mil trabalhadores em teletrabalho, lembrou a ministra.	MÊS SETEMBRO TEMPO PERIODO SEGUNDO PANDEMIA LIGADO PESSOAS TRABALHO 29 MIL CASA TRABALHO DISTÂNCIA PESSOA MULHER MINISTRA DIZER
Empenho a minha palavra de honra em como nunca houve nenhum contacto com o PS e o Governo sobre essa matéria do congresso, disse Jerónimo de Sousa em declarações à RTP.	PROMESSA MINHA HONRA VERDADE CONTACTO PS E GOVERNO EU NUNCA LIGADO TEMA CONGRESSO NG(JERÓNIMO DE SOUSA) INFORMAÇAO DAR ENTREVISTA RTP
O Governo recusou esta sexta-feira suspender políticas de habitação enquanto se espera pelo Programa Nacional de Habitação, previsto ser apresentado em 2021, explicando que esse plano mais não é do que a repercussão das políticas em curso desde 2016.	SEXTA FEIRA ESTA GOVERNO RECUSAR POLITICAS TEMA HABITAÇÃO LIGADO SUSPENDER TEMPO ESPERAR PROGRAMA NACIONAL HABITAÇÃO LIGADO PREVISÃO 2021 APRESENTAR EXPLICAR PLANO ESSE CONSEQUÊNCIA POLITICAS PRATICAR CONTINUAÇÃO INICIO ANO 2016
O partido tem uma posição tomada que é a de não apoiar nenhuma candidatura.	GRUPO POLITICA OPINIÃO POSIÇÃO JÁ CANDIDATURA EXISTIR NÓS APOIO ZERO
Como a noite é longa!	NOITE TEMPO DURAR MUITO
Do leito onde esperto.	ESPAÇO MEU CONHECIMENTO TER
Amei tanta coisa...	EU ANTES AMOR COISAS VÁRIAS
Que fiz eu de mim?	{EU AGORA SER O QUÊ}(q)
Repudiei sempre que me compreendessem.	SEMPRE ELES COMPREENDER EU AO CONTRÁRIO EU NÃO ACEITAR
Prefiro ser tomado a sério como o que não sou, ignorado humanamente, com decência e naturalidade.	SÉRIO IGUAL EU NÃO PREFERIR HUMANO SÉRIO NATURAL SER
Nada poderia indignar-me tanto como se no escritório me estranhassem.	ESCRITÓRIO TRABALHO IGUAL ESTRANHO NÃO HÁ TODOS ACEITAR
Afogai-me, ó ruído da acção, no som dos vossos oceanos!	SOM ACÇÃO FORTE OCEANOS SOM LIGADO EU DESAPARECER
Aquele que dentro de mim quase grita, quase, quase chora	EU INTERIOR QUASE GRITAR QUASE QUASE CHORAR
Levai-me para longe de eu saber que vida é que sinto	EU LONGE IR VIDA SENTIR O QUE NÃO SABER
Sabeis bem como este livro é obra de uma vontade que lutou com a Natureza.	VOCÊS CONHECIMENTO TER LIVRO ESTE IMPORTANTE VONTADE LIGADO NATUREZA
A doença e o desassossego, inimigos naturais de conseguir, não lograram os fins que trazem no seu carácter de empecilhos.	DOENÇA SOSSEGO NÃO HÁ EXEMPLO DOIS LIGADO NÃO CONSEGUIR OBJETIVO ATINGIR NÃO POSSIVEL POR CAUSA PERFIL CRIAR OBSTACULO
Uma vontade que os Deuses apoiam é uma vontade forte de fins.	DEUS VÁRIOS VONTADE TER IGUAL VONTADE FORTE OBJETIVO ATINGIR HÁ
Todo esforço, qualquer que seja o fim para que tenda, sofre, ao manifestar-se, os desvios que a vida lhe impõe.	ESFORÇO TODO OBJETIVO GERAL SEGUIR CONSEQUÊNCIA VIDA CAMINHOS DIFERENTES IMPOR
Só um baixo fim vale a pena, porque só um baixo fim se pode inteiramente efectuar.	FIM BAIXO IMPORTANTE PORQUE FIM BAIXO PRÁTICA POSSIVEL
Ainda assim uma vaga inquietação anda a torturar-me, uma coisa a que eu não posso chamar senão uma comichão intelectual, como se eu fosse ter bexigas na alma.	EU SOFRER PRESSÃO MUITO EU SENTIR INTELECTUAL PREOCUPAÇÃO IGUAL ALMA MINHA PREOCUPAÇÃO; EU SOFRER PRESSÃO MUITO EU SENTIR INTELECTUAL PREOCUPAÇÃO IGUAL ALMA MINHA ANSIEDADE
É só nesta linguagem absurda que eu lhe posso descrever o que sinto.	EU EXPLICAR SENTIR O QUE? POSSÍVEL SÓ FORMA DISPARATE
A maioria dos homens vive com espontaneidade uma vida fictícia e alheia.	HOMEM MAIORIA VIDA ESPONTANEO IGUAL VIDA VERDADE NÃO É VIDA INTERESSE NÃO HÁ
Uns gastam a vida na busca de qualquer coisa que não querem, outros empregam-se na busca do que querem e lhes não serve, outros ainda se perdem.	PESSOAS ALGUMAS VIDA OBJETIVOS SEUS DESADEQUADO PESSOAS OUTRAS PROCURAR OBJETIVO SUFICIENTE NÃO PESSOAS OUTRAS OBJETIVO NÃO SABER
Em geral, o homem chora pouco, e, quando se queixa, é a sua literatura.	GERAL HOMEM CHORAR POUCO MAS QUANDO QUEIXAR CONTAR COISAS VÁRIAS GOSTAR